Name,Units,Calories,Calories From Fat,Total Fat,Saturated Fat,Trans Fat,Cholesterol,Sodium,Total Carbs,Dietary Fiber,Total Sugars,Added Sugars,Protein,Potassium,Comments
smart balance,1 Tbsp,60,0,7,2,0,0,30,0,0,0,0,0,0,
spaghetti,1 cup (2 oz),200,0,1,0,0,0,0,42,2,2,0,7,94,
spaghetti sauce low salt marinara,1/2 cup,70,0,4.5,1,0,0,0,7,1,6,0,2,381,gia russa from publix
spaghetti sauce low salt tomato basil,1/2 cup,70,0,4,1,0,0,0,7,1,6,0,2,391,gia russa from publix
spare ribs,1 rib,126,97,11,3.2,0.1,37,32,0,0,0,0,7.3,0,
spare ribs w/ bbq sauce,1 rib,161,97,11,3,0.1,37,177,9,0,8.5,8,7,0,
spring mix lettuce,2 cups,20,0,0,0,0,0,55,4,2,0,0,1,190,
strawberries,1 each,4,0,0,0,0,0,0,0.9,0.2,0.6,0,0.1,18,
strawberry cheesecake - publix,1 slice,330,220,24,14,1,115,270,22,1,18,0,6,0,
strawberry shortcake,1 slice,195,20,2,2,0,0,210,42,1.4,30.8,26,4,144,
stuffed green pepper,1 each,410,202,27,10,0,80,112,20,5.9,11.9,0,25,1309,hamburger cauliflower low sodium marinara sauce
sugar,1 cup,714,0,0,0,0,0,0,194,0,194,194,0,4,
sugar,1 tsp,15,0,0,0,0,0,0,4,0,4,4,0,0.1,
surimi,1 piece,22.5,3.75,0.5,0,0,3.75,150,2.5,0,0.75,0,2.5,0,
sweet and salty cashew,1 bar,150,0,5,1.5,0,0,90,25,2,7,6,2,80,
sweet baby ray's barbeque sauce,2 Tbsp,70,0,0,0,0,0,290,18,0,17,16,0,0,
swiss cheese lacey,1 oz,90,0,6,4,0,15,35,0,0,0,0,9,25,lacey low sodium
tartar sauce,1 Tbsp,57,0,6,1,0,5,113,1.5,0,1.5,1,0,0.5,
tartar sauce light,1 Tbsp,37,0,2.5,0,0,2.5,122,2,0,1.5,1,0,0.5,
tater tots,9 pieces,130,0,7,1,0,0,410,17,1,0,0,1,250,
thin spaghetti,1 cup (2 oz),200,0,1,0,0,0,0,42,2,2,0,7,94,
tilapia,3 oz filet,110,0,2.5,1,0,75,30,0,0,0,0,22,360,idahoan instant pototoes with 1/2 cup no fat milk
tomato,1 cup,32,3,0.4,0.1,0,0,9,7.1,2.2,4.7,0,1.6,427,
tomato sauce no salt,1 cup,100,0,0,0,0,0,60,20,8,12,0,4,752,no salt added
tomato slice,1 slice,2.7,0,0,0,0,0,1,0.6,0.2,0.4,0,0.1,35,
tombstone pepperoni pizza,1 slice,180,0,9,4,0,15,425,17,0.5,3,0.5,7.5,85,
tootsie pops,1 pop,60,0,0,0,0,0,0,15,0,11,11,0,0,
tortilla chips,1 chip,15,0,0.67,0.06,0,0,13,2.2,0.1,0,0,0.2,4.4,
tuna fish (can),3 oz can,70,0,0.5,0,0,35,320,0,0,0,0,16,150,starkist 3 oz can
tuna fish (for 1 sandwich),1/2 can,121,0.5,8,1,0,25,334.5,4,0.85,1.35,0,8,156.5,1 sandwich
